MolecularWeight_Mean,ProteinGroups,Genes,ProteinDescriptions,ProteinNames,83-6,Control1,Control2,56-1,56-2,69-1,82-1,82-2,1-May,2-May,3-May,29-1,29-2,29-3,1-Nov,2-Nov,3-Nov,5-Nov,6-Nov,21-1,21-3,68-1,81-1,81-2,2-Mar,3-Mar,45-2,47-1,47-2,47-3,1-Dec,6-Dec,48-3,67-1,67-2
35989.46,A0A0G2JT64,Akr1b8,Aldo-keto reductase family 1 member B10,A0A0G2JT64_RAT,8.68302403,10.6401163,1.77352437,5.92649102,6.38924596,3.85469922,1.130378159,4.062836636,5.406693379,8.795717334,5.897680761,4.260745253,7.196703017,6.790041868,4.070099306,9.520803465,8.431055814,2.497800866,6.350794364,3.022563154,5.147246093,3.111335851,4.480803899,3.966476426,2.510309455,1.298734066,4.178038946,5.781162939,4.574554536,5.178765493,3.387185978,2.51752049,4.49388313,4.708442856,3.684680415
25158.26,A0A0G2JTB1,Gsta3,Glutathione S-transferase,A0A0G2JTB1_RAT,44.04725373,59.62753944,38.51772717,40.08889519,55.37821322,27.72533671,53.35862967,36.29155546,51.32501261,50.44747916,40.49896938,51.09042324,54.82336833,68.1074186,38.39361982,35.74206599,62.13353344,41.929208,46.13988459,43.01489718,43.93526093,92.50028558,48.01700002,52.97158813,64.16070495,60.80249363,35.95465091,51.53889281,47.33613486,50.11137632,47.27811192,41.66627894,50.15919027,51.30330625,44.50098214
75706.47,A0A0G2JTB2,Gbe1,"1,4-alpha-glucan branching enzyme 1",A0A0G2JTB2_RAT,0.8081817,0.722463271,0.796978517,0.786847344,0.770084225,0.856404652,0.727157543,0.859273573,0.685598521,0.661287685,0.655605849,0.667958496,0.790527271,0.766972279,0.910450266,0.81430598,0.683227234,0.596762646,0.718000484,0.6546383,0.662343062,0.746900532,0.772336843,0.68956166,0.649567397,0.674568617,0.716401525,0.69608726,0.73365098,0.771768126,0.723601689,0.734593858,0.697124037,0.720860133,0.737090312
144392.01,A0A0G2JTN4,Pfas,Phosphoribosylformylglycinamidine synthase-like,A0A0G2JTN4_RAT,0.204374578,0.100756114,0.159610793,0.167821957,0.14335762,0.146097449,0.169859568,0.180298696,0.196425366,0.171746392,0.23339762,0.728937465,0.139454881,0.146360739,0.183101383,0.172658264,0.179680475,0.152878944,0.159893644,0.191188322,0.220225287,0.093805831,0.17311458,0.150390853,0.133760478,0.127982638,0.128112016,0.225954663,0.163636604,0.17629126,0.172259488,0.160288799,0.142487056,0.151432707,0.169410706
48602.52,A0A0G2JTY3,Slc37a4,Solute carrier family 37 member 4,A0A0G2JTY3_RAT,4.76106458,3.912828061,3.40106282,4.588604549,4.13951985,3.778995834,4.335079723,3.544500473,3.582084281,3.122254023,3.467099064,3.811540322,3.077268688,3.087822565,2.680724272,3.587540118,4.485678747,2.640871951,3.783928365,5.072771258,7.16908081,3.333242615,4.373019341,4.005531474,3.939580244,4.037942976,3.778361494,2.820583587,2.98335027,3.074806586,2.390461159,1.653196216,1.882883175,2.463743119,2.231702977
14828.52,A0A0G2JU12,Mgst2,Microsomal glutathione S-transferase 2,A0A0G2JU12_RAT,0.761523359,0,0,0,0,0.756030563,0,0,0,0,0.574047537,0,0,0,0,2.594199375,0,0,4.060373855,0,0,0,0.402518513,0,0.65630853,0,2.272862476,0,0,2.748886736,0,0,0,3.310641251,0
84556.97,A0A0G2JU15,Ptcd3,Pentatricopeptide repeat domain 3,A0A0G2JU15_RAT,0.253531238,0.330885364,0.400378097,0.384828905,0.305639554,0.29379495,0.333575698,0.340559751,0.283740272,0.266463513,0.366866593,0.325779706,0.330476328,0.377094952,0.354544075,0.293934763,0.338726867,0.313464142,0.303046421,0.326367313,0.605716035,0.199007006,0.376029343,0.332757366,0.294722527,0.331528651,0.336067415,0.327158415,0.280765547,0.352072102,0.326322438,0.274372233,0.300903489,0.382832616,0.356228984
61854.25,A0A0G2JU25,Galnt2,Polypeptide N-acetylgalactosaminyltransferase,A0A0G2JU25_RAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51925.62,A0A0G2JU49,Mtx1,Metaxin 1,A0A0G2JU49_RAT,1.006023647,1.162005866,1.134059335,1.151429795,1.106796246,1.083544563,1.275267953,1.088501856,0.973670246,1.000460651,1.050894553,0.967206632,1.179165041,1.096945529,1.084269153,1.100728371,1.144941451,1.065664468,1.136362407,1.06013365,1.033047255,1.11240528,1.063840261,1.075012113,1.161503177,1.136679603,1.127873148,1.078727803,1.107584455,1.103738611,1.047849806,1.024092484,1.064733477,1.170600605,1.087107615
24792.27,A0A0G2JU77,Eif3k,Eukaryotic translation initiation factor 3 subunit K,A0A0G2JU77_RAT,1.313207389,1.80008098,2.421580984,1.852906427,1.805793379,1.922898492,2.198324281,2.061114608,1.832212162,1.92340036,1.795426536,1.862041773,1.908965274,1.695405793,2.259863036,1.888806233,1.796792059,1.567924947,2.154843522,1.293555641,1.577567408,1.55540256,1.676945816,1.993679489,1.514057155,1.826014312,1.950054486,1.983256452,1.495576771,2.135242113,1.896796928,1.838895242,2.057773717,1.940674146,1.971904392
70620.15,A0A0G2JU83,Lbr,Lamin-B receptor,A0A0G2JU83_RAT,0.456267075,0.396254927,0.385128964,0.472484231,0.363921932,0.460781836,0.461111434,0.41708496,0.266376625,0.373188445,0.28769095,0.351815731,0.402196391,0.348716703,0.3910327,0.370380813,0.403748047,0.281290904,0.115258228,0.557395451,0.874175157,0.341875116,0.380520948,0.385994239,0.418275237,0.374579397,0.438967347,0.565956225,0.410005555,0.303986141,0.492733935,0.284482394,0.484816534,0.430143155,0.403388361
581125.04,A0A0G2JUA5,Ahnak,AHNAK nucleoprotein,A0A0G2JUA5_RAT,1.192134338,0.50262692,0.966635457,0.772772717,0.851013371,1.120638416,0.896063802,1.185287631,0.622682995,0.580331719,0.682190745,0.784095116,0.779801206,0.639896433,0.997374672,0.927099706,0.596916459,0.606349988,0.764974836,0.764969717,0.767355457,5.291021613,0.633670879,0.948093691,0.516011839,0.428772957,0.615714571,0.897145021,0.969270806,1.126191626,0.931840548,0.765300625,0.886051628,0.853599282,0.830122439
34527.08,A0A0G2JUD2,Sar1a,Pyrophosphatase (inorganic) 1,A0A0G2JUD2_RAT,4.081893404,3.586895039,3.327218693,3.221413781,3.069554903,3.356491453,3.301026211,3.204811575,2.830304337,2.89244182,3.209668584,2.881743958,3.071801884,3.008784632,3.058884441,3.88155143,2.733266435,2.697190788,3.433375693,2.841162337,2.717582189,2.374445997,3.276879001,2.915888448,2.97683592,2.997919773,2.921949857,3.022294291,2.730592089,3.087391324,3.083618564,3.377833761,2.841818157,3.330679478,3.115257062
61005.095,A0A0G2JUD3;P09875,Ugt2b17;Ugt2b1,"UDP glucuronosyltransferase 2 family, polypeptide B10;UDP-glucuronosyltransferase 2B1",A0A0G2JUD3_RAT;UD2B1_RAT,0.316646425,0,0.132382078,0.129578806,0.14152484,0.123111491,0.137494861,0.23439345,0.354001426,0.169907781,0.364377216,0.155936027,0.139059294,0.114397153,0.158995307,0.144073443,0.109932906,0.396893782,0.115754208,0.091853115,0,0,0.250584311,0.106961137,0.316651422,0,0,0.10468739,0.139261563,0.505357233,0.197117211,0.212292451,0.075209724,0.198466495,0.058948795
140637.78,A0A0G2JUI5;Q99JD4,Clasp1;Clasp2,Cytoplasmic linker-associated protein 1;CLIP-associating protein 2,A0A0G2JUI5_RAT;CLAP2_RAT,0.097892196,0.065581683,0.080727527,0,0.070059491,0.073883335,0.08168385,0.103135099,0.068579874,0.094215595,0.077316807,0,0.083520165,0.076074291,0.089827277,0.094610201,0.064538746,0,0.086090389,0,0,0,0.069372504,0.077550369,0.065090036,0.058637852,0.074035192,0.068498533,0.051665486,0.08327549,0.069477483,0.070272663,0,0.100327349,0.068165667
87716.73,A0A0G2JUJ9,Sec63,"SEC63 homolog, protein translocation regulator",A0A0G2JUJ9_RAT,0.330064764,0.175523508,0.265720523,0.349996786,0.316434836,0.411466831,0.365015417,0.379527611,0.29321376,0.28783258,0.305581104,0.308903969,0.330732908,0.325822164,0.285958507,0.353470664,0.319472235,0.171665649,0.348839866,0.410408669,0.420879295,0.521915032,0.285877697,0.341229145,0.346061777,0.260323113,0.318946052,0.253985167,0.304631704,0.308562056,0.15442559,0.193686632,0.125174268,0.242009058,0.187212717
34776.01,A0A0G2JUM0,RGD1562392,Sulfotransferase,A0A0G2JUM0_RAT,91.09803749,123.1575553,103.6198376,134.0071817,73.59257306,101.9220943,99.53637339,110.0295769,115.6250954,111.4237583,100.5114452,119.1863833,68.22579666,49.13287893,87.07513775,64.05295103,70.89180589,106.7339562,80.23020216,55.4244548,134.57562,76.52511451,109.6803184,94.73643136,93.42441615,80.16615335,132.3147327,103.3806167,75.93607991,91.12477458,78.78797384,66.59694299,80.19076124,82.44589893,97.49645805
105180.44,A0A0G2JUZ5,Gldc,Glycine cleavage system P protein,A0A0G2JUZ5_RAT,0.991119686,1.920561476,1.058815268,1.47761899,1.795185789,0.984723205,1.226107601,1.033558235,1.259732387,0.973052477,1.282413977,1.033259755,0.894870262,0.864959235,0.919670633,1.146851016,1.70751601,0.477454819,1.167119496,1.491306667,1.486302042,1.119645903,1.621473921,1.074754345,1.557623761,1.595694197,1.126613523,1.652513066,0.807194523,1.070811562,1.097342197,0.889125811,1.391441162,1.148215188,1.338894456
181913.37,A0A0G2JV05,Mroh1,Maestro heat-like repeat family member 1,A0A0G2JV05_RAT,0,0.043320014,0.054434034,0,0,0,0.026663543,0,0.043663289,0,0.058230061,0,0,0,0.037799153,0,0,0,0,0.051457775,0,0,0,0,0,0.046372837,0.0555583,0,0,0,0.039137343,0.015696275,0.038301866,0.038851491,0
138266.94,A0A0G2JV12,Col15a1,Collagen type XV alpha 1 chain,A0A0G2JV12_RAT,0.986149846,0.980638767,0.83053061,0.914881341,0.884134651,0.756559546,1.076169609,0.911755654,0.598388418,0.688019125,0.671690638,0.501358924,0.617240088,0.537252312,0.678355915,0.858968137,0.682056152,0.459547654,0.916528505,0.814493548,0.679385145,0.665761621,0.670220417,0.653801246,0.765455269,0.6551417,0.763989636,0.820129226,0.844848926,0.792862044,0.732554003,0.904466409,0.835194191,0.66108266,0.725495422
160876.345,A0A0G2JV16;Q63603,Dock11;Dock9,Dedicator of cytokinesis 11;Dedicator of cytokinesis protein 9 (Fragment),A0A0G2JV16_RAT;DOCK9_RAT,0,0.300788744,0.300537924,0.22586652,0.284711087,0.149485147,0.201657947,0.182256232,0,0,0.120341486,0.289944915,0.053194372,0,0,0.257614668,0.29893313,0.121823631,0,0.114770312,0,0,0.223049656,0,0,0.217087759,0.356511274,0.392669727,0.315080267,0,0.083737837,0.15530056,0.314472678,0.384433745,0.139686564
127870.94,A0A0G2JV24,Thbs1,Thrombospondin 1,A0A0G2JV24_RAT,0.507042366,0.359136355,0.42036367,0.355832085,0.398564471,0.67951804,0.340757953,0.468302445,0.959298499,0.992966346,0.90535949,0.796219918,0.562808876,0.607250412,0.691147571,0.677321962,0.538992757,0.891657692,0.690503714,0.432108777,0.423772983,0.374729716,0.472041096,0.400619434,0.825265055,0.518770105,1.044568578,1.03094944,1.180349716,1.244578644,1.086950133,1.326274082,1.164324819,0.988886135,1.017708464
58096.12,A0A0G2JVA8,Kb15,Type II keratin Kb15,A0A0G2JVA8_RAT,1.67921082,0.979402572,1.232798351,1.439475178,1.65287586,1.830402296,1.137707499,1.523840307,1.034397345,1.036550485,1.115105267,1.209055988,1.474414302,0.802479448,1.291217655,1.783752435,0.896397145,1.119600362,0.878963297,2.346244777,0.953048809,1.009908209,1.018332204,0.977813925,0.977967683,0.923739278,0.786895747,0.865318446,0.92252799,0.957777621,1.095110677,1.121975885,1.275479459,0.772880403,0.840861712
153468.94,A0A0G2JVM2,Mia3,"MIA family member 3, ER export factor",A0A0G2JVM2_RAT,0.125248389,0.146099353,0.18900316,0.2248874,0.171923812,0.163922832,0.188701726,0.223399961,0.19105957,0.241186317,0,0.150166837,0.217965195,0.179065994,0.143634167,0.205615235,0.170852384,0,0.206232198,0.162270916,0.16715817,0.1191419,0.171109347,0.199673441,0.194836601,0.175149505,0.190367789,0.194910543,0.20554616,0,0.165163258,0.16232857,0.165414085,0.164540698,0.166925293
48520.91,A0A0G2JVP8,Gba3,Glucosylceramidase beta 3,A0A0G2JVP8_RAT,1.315208342,1.47030052,1.244178191,1.607045229,1.349436629,1.340495089,1.557910066,1.206390748,1.521571005,1.203967826,1.307314752,1.402006916,1.250232378,1.577920949,1.201326496,1.436875275,1.813846461,1.183682153,1.570753463,1.38247153,1.265254709,5.521428207,1.562525546,1.510902783,1.622319918,1.618384347,1.483516844,1.402142573,1.352238955,1.28949639,1.295924586,1.396286408,1.319312011,1.471159455,1.490319278
28666.05,A0A0G2JVP9,Psme1-ps1,"Proteasome (prosome, macropain) activator subunit 1 (PA28 alpha), pseudogene 1",A0A0G2JVP9_RAT,2.7255168,3.457142871,4.934730441,4.396757795,4.727292416,3.860884618,4.012928824,4.192763037,3.289759664,3.882218607,3.771125685,3.539995712,4.056452114,3.373639147,5.097327723,3.832833324,3.464987384,2.846302478,3.987058908,3.788320805,3.796206952,11.21249132,3.515103065,3.644314499,4.134589666,3.703407878,3.765433695,3.716050093,3.871936499,3.136207601,3.695844364,3.859872465,3.488007871,3.638106518,3.905323806
115810.2,A0A0G2JVZ6,Itgav,Integrin subunit alpha V,A0A0G2JVZ6_RAT,0.459716586,0.308070441,0.368717877,0.377345238,0.302658369,0.388860923,0.399958908,0.43359593,0.376254082,0.417369106,0.39417917,0.329249174,0.399978244,0.382447597,0.503249961,0.431196683,0.361491627,0.385058849,0.440217485,0.314823532,0.422992926,0.410799516,0.37009705,0.37539703,0.367423706,0.35990989,0.445325128,0.470640266,0.415737963,0.451412224,0.514756345,0.405596279,0.242143292,0.429364838,0.438234285
24944.74,A0A0G2JW38,Rpe,Ribulose-phosphate 3-epimerase,A0A0G2JW38_RAT,2.186986774,1.11649017,1.313149136,1.179625434,1.233672742,1.319146186,1.3668717,1.536772624,1.047240553,1.309519462,1.076789681,1.002408612,1.339019093,1.189260806,1.424175979,1.495479095,1.050854291,1.131145897,1.257644332,1.103562754,0,1.002976224,1.095337026,1.024221207,1.215677166,0.929218625,1.052369003,1.150200646,1.141072041,1.24121453,1.376743162,1.205098446,1.127015029,1.114133884,1.266208685
392076.86,A0A0G2JW60,Utrn,Utrophin,A0A0G2JW60_RAT,1.049662325,0.683860442,0.817935925,0.833655122,0.747590828,0.766523892,0.859853195,0.875902798,0.64378806,0.6722017,0.648750089,0.6637544,0.692716443,0.662335446,0.698224074,0.713559669,0.604454434,0.690238566,0.65366365,0.801477392,0.142753481,0.59150313,0.711328095,0.726276937,0.663491612,0.62682113,0.749328963,0.674717723,0.695728766,0.694313158,0.671492281,0.684457576,0.640839263,0.718120578,0.709419324
95123.68,A0A0G2JW72,Atp6v0a4,V-type proton ATPase subunit a,A0A0G2JW72_RAT,1.092012062,1.95078548,1.711379283,1.934766248,1.752853885,1.585574744,1.653972698,1.655117849,1.754233572,1.236772621,1.434320238,1.705174404,1.500330368,1.465004809,1.560530237,1.590871121,1.802237548,1.473578867,1.920780245,1.492437374,1.852685173,3.098656411,1.629846667,1.767080159,1.761128451,2.004540869,1.627557651,1.740520291,1.355964518,1.435952182,1.549224382,1.723915654,1.491971294,1.725234688,1.759626524
53808.76,A0A0G2JW94,Clint1,Clathrin interactor 1,A0A0G2JW94_RAT,1.098109341,1.140577625,1.40984371,1.348484689,1.243826542,1.258164929,1.323832607,1.394374398,1.185674106,1.011251349,1.153153157,1.241582202,1.23520842,1.162527472,1.250492629,1.219149942,1.116424862,1.144913798,1.261305601,1.080867556,1.131651226,1.17280315,1.401178266,1.221893408,1.035817328,1.122713344,1.24347719,1.278932821,1.13238251,1.322968271,1.161189871,1.188788104,1.275701782,1.176060896,1.198413017
79623.61,A0A0G2JWC7,Fermt2,Fermitin family member 2,A0A0G2JWC7_RAT,1.377068432,1.027888189,1.158666683,1.269711266,1.045956717,1.182160317,1.160494155,1.301644028,0.965595385,1.019580525,0.986441898,0.891139108,1.026401219,1.006244146,1.221548685,1.229665786,1.033942627,0.96690569,1.255017547,1.135239138,0.725069254,1.106534136,1.107351635,1.119164285,1.046274537,1.063388614,1.145362539,1.115702349,1.013164607,1.117639577,1.231007051,1.042978189,1.030275685,1.163889123,1.084924122
97609.77,A0A0G2JWD0,Prom1,Prominin 1,A0A0G2JWD0_RAT,0.538521687,0.452127706,0.61281086,0.390001571,0.25532786,0.22002242,0.301888887,0.240759803,0.481828416,0.572708047,0.455575618,0.300441079,0.507598536,0.512848007,0.223371664,0.301982976,0.225419669,0.272632481,0.420172223,0.312367874,0.582632228,0.305829249,0.703891943,0.353569164,0.365627912,0.458298601,0.271180356,0.362376135,0.281814457,0.340939136,0.214495292,0.324451277,0.31907849,0.444523605,0.372538934
121501.1,A0A0G2JWD6,Ap3b1,AP-3 complex subunit beta,A0A0G2JWD6_RAT,0.571003515,0.608534622,0.707640499,0.617158648,0.562113429,0.640815259,0.617053187,0.672366488,0.611154263,0.567643978,0.589958257,0.606492985,0.620422075,0.652778093,0.650601594,0.651023055,0.628737382,0.598270298,0.661897846,0.673509332,0.74711859,0.358295072,0.6516396,0.620685804,0.633948049,0.62788856,0.624050322,0.610968118,0.618785801,0.593902361,0.640923977,0.62417381,0.612977127,0.708384985,0.662342897
59271.925,A0A0G2JWR5;B2RYG5,LOC103694865;Taf15,TATA-binding protein-associated factor 2N-like;TATA-box-binding protein-associated factor 15,A0A0G2JWR5_RAT;B2RYG5_RAT,2.14374892,2.020387937,2.434639628,2.122195666,2.963950507,2.114390133,2.057989805,2.424777031,1.617686935,1.553272416,2.263541309,1.76051833,1.657457286,1.925547468,2.317727853,1.912243156,2.281123727,1.416772701,1.879236228,1.682903447,1.661506281,2.045349146,1.848009143,2.009542771,1.421531633,1.351378828,1.940718358,1.758075777,1.895224195,2.048466584,1.863448779,1.807595309,1.980013527,1.846635964,1.859615553
43679.73,A0A0G2JX72;F2Z3T4,Mbnl1;Mbnl2,Muscleblind-like-splicing regulator 1;Muscleblind-like protein 2,A0A0G2JX72_RAT;MBNL2_RAT,2.91198609,2.031508463,2.158339405,2.373927973,2.174877403,2.289300187,2.302034399,2.625191858,2.036155102,1.97368158,2.069838903,2.034707919,2.085761413,1.99087636,2.225745355,2.40605359,1.867001537,2.027803127,2.233450016,1.861801041,2.177261151,1.728300362,2.150455166,2.133240476,1.798577544,1.7667046,2.036397888,2.13165209,2.016955477,2.219723098,2.169674623,2.007425395,2.010498229,2.221925326,2.068582309
125241.04,A0A0G2JX93,Stat1,Signal transducer and activator of transcription,A0A0G2JX93_RAT,0.601480351,0.50888643,0.64483289,0.643970797,0.625884777,0.565434995,0.57123813,0.612306814,0.382064507,0.523714613,0.424676157,0.492153127,0.577859945,0.539260023,0.542954665,0.543308136,0.388783744,0.399396467,0.457268777,0.504711536,0.292050219,0.619278193,0.532059412,0.500008962,0.525624413,0.462652474,0.447207996,0.493788701,0.469817031,0.456740438,0.523755807,0.488127984,0.410988021,0.534937583,0.535868547
112466.295,A0A0G2JXC2;A0A0G2K132,Fmnl3;Fmnl2,Formin-like 3;Formin-like 2,A0A0G2JXC2_RAT;A0A0G2K132_RAT,0.183489943,0.10207746,0.17601019,0.121005623,0.118042449,0.129428206,0.15318897,0.165757429,0.104957702,0.098590708,0.091860414,0.09954529,0.098558662,0.132422164,0.168731735,0.142482406,0.094236766,0,0.152734784,0.116573726,0,0,0.14324429,0.125177813,0.086618621,0,0.128094768,0,0.092939428,0.128240498,0.143985784,0.133095204,0.09565792,0.119514587,0.132440867
14151.70429,A0A0G2JXE0;A0A0G2JXI9;D3ZWM5;G3V8B3;G3V9C7;M0R4L7;Q00715,LOC102549061;Hist1h2bo;Hist1h2bd;Hist1h2bq;Hist1h2bk;Hist1h2bl;,Histone H2B;Histone H2B;Histone H2B;Histone H2B;Histone H2B;Histone H2B;Histone H2B type 1,A0A0G2JXE0_RAT;A0A0G2JXI9_RAT;D3ZWM5_RAT;G3V8B3_RAT;G3V9C7_RAT;M0R4L7_RAT;H2B1_RAT,886.2827676,637.5152394,598.7225305,641.6955619,603.2130517,697.4685666,599.2273258,640.0504355,523.6951346,581.2956312,530.9842344,522.0782004,582.452216,560.2513699,637.3807767,621.7135141,570.596649,583.4852658,612.8705761,809.4230763,839.2486794,595.1484471,596.6093718,595.4767016,539.724561,555.986593,611.102836,599.9007686,658.8208484,652.3487179,661.0991542,612.5503061,637.2159055,641.2748731,646.003278
101159.53,A0A0G2JXN8,Osbpl8,Oxysterol-binding protein,A0A0G2JXN8_RAT,0.601396163,0.617214132,0.672033154,0.907115235,0.708823456,0.870260845,0.883517715,0.862027029,0.722527836,0.793095037,0.679901766,0.625956041,0.815771859,0.73472747,0.745662128,0.802816514,0.853015231,0.689742915,0.936178457,0.857165145,0.469422822,0.827785003,0.721877856,0.78135803,0.793091455,0.756147423,0.781311281,0.581305789,0.706185577,0.525505609,0.639093871,0.517501993,0.470447265,0.613693945,0.578886141
110635.33,A0A0G2JXP3,Nedd4l,"Neural precursor cell-expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase",A0A0G2JXP3_RAT,0.130435359,0.090164906,0.093211805,0.116772315,0.098527157,0.10336684,0.104458087,0,0,0,0,0,0.112974113,0,0.131780303,0.12262277,0.096621687,0,0,0.103568828,0.102572858,0.165688105,0.139623843,0.127439174,0.101078302,0.08170664,0.113128606,0.084865845,0.106497941,0.104892326,0.122387113,0,0.114134148,0,0
